en_name,th_name,course,province,region,calories_kcal,prep_time_minutes,is_vegetarian,sales_2025,price_baht,spice_level,rating_out_of_5
Som Chun,ส้มฉุน,salad,Various,Various,228,15,FALSE,,80,Mild,-1
Tub Tim Grob,ทับทิมกรอบ,dessert,Various,Various,527,90,FALSE,115400,฿30,Not Spicy,4.6 stars
Kao Yam,ข้าวยำ,main dish,Southern provinces,South,189,5,FALSE,276100,70,Not Spicy,3.8
Sup Khreung Nai,ซุปเครื่องใน,main dish,Various,Various,406,,FALSE,273600,70,Med,4.8
Pla Kok,ปลาคก,main dish,Unknown,Unknown,622,,TRUE,,45,Very Hot,3.1
Kai Hor Bai Toey,ไก่ห่อใบเตย,main dish,Various,Various,,40,FALSE,322000,150,Hot,3.4 stars
Ja Mongkut,จ่ามงกุฎ,dessert,Unknown,Unknown,,90,FALSE,180300,80,Not Spicy,3.1
Kaeng Lueang,แกงเหลือง,main dish,Southern provinces,South,205,,FALSE,471000,,Very Hot,10
Kai Koa Lae,ไก่กอและ,main dish,Pattani,South,539,40,TRUE,,80,very hot,2.7
Phat Khi Mao,ผัดขี้เมา,main dish,Bangkok,Central,798,90,FALSE,249700,150,Very Hot,3.6 stars
Salapao,ซาลาเปา,snack,Various,Various,,60,TRUE,88700,฿60,Mild,4.4
Khao Tu,ข้าวตู,snack,Various,Various,244,15,FALSE,377000,฿35,Very Hot,10
Ngob,งบ,main dish,Unknown,Unknown,343,60,FALSE,213500,฿25,Extra Spicy,
Kao Khluk Kapi,ข้าวคลุกกะปิ,main dish,Bangkok,Central,775,10,FALSE,105100,฿30,Very Hot,-1
Kaeng Tumi,แกงตูมี้,main dish,Unknown,Unknown,133,40,,74700,฿40,N/A,4.1
Tom Kloang,ต้มโคล้ง,main dish,Various,Various,413,60,TRUE,423800,฿80,Not Spicy,3.3
Hoi Tak,หอยตาก,snack,Unknown,Unknown,258,40,TRUE,102200,฿30,not spicy,4.5 stars
Kao Chae,ข้าวแช่,main dish,Central provinces,Central,827,60,TRUE,,฿25,Hot,4.7
Chu Chi,ฉู่ฉี่,main dish,Various,Various,301,5,FALSE,261000,N/A,Very Hot,3.0
Kao Man Somtam,ข้าวมันส้มตำ,main dish,Various,Various,228,45,FALSE,167300,50,not spicy,4.9
Lot Chong,ลอดช่อง,dessert,Various,Various,309,90,FALSE,, 30 ,Hot,4.0
Kuai Tiao Kua Kai,ก๋วยเตี๋ยวคั่วไก่,main dish,Bangkok,Central,515,20,FALSE,432000,25,Medium,4.9
Kao Kan Jin,ข้าวกั๊นจิ๊น,main dish,Northern provinces,North,199,10,FALSE,68400, 100 ,hot,3.0 stars
Phat Phak Bung,ผัดผักบุ้ง,main dish,Various,Various,,20,FALSE,, 80 ,Mild,N/A
Sate,สะเต๊ะ,snack,Southern provinces,South,739,90,FALSE,479200,100,Med,3.4
Kanom Kee Nu,ขนมขี้หนู,snack,Various,Various,376,20,TRUE,495700,25,Spicy,3.8 stars
Tau Huai,เต้าฮวย,dessert,Various,Various,251,5,FALSE,11700,35,Mild,2.9
Phat Sam Muen,ผัดสามเหม็น,main dish,Various,Various,732,40,FALSE,,฿50,Mild,4.8 stars
Khanom,ฆานม,dessert,Unknown,Unknown,634,45,FALSE,37700, 25 ,Not Spicy,N/A
Hoi Jo,ฮ่อยจ๊อ,snack,Southern provinces,South,578,5,,390400, 40 ,Mild,3.6
Kao Lao,เกาเหลา,main dish,Bangkok,Central,379,,,288500,฿25,MILD,3.5
Kanom Wong,ขนมวง,snack,Various,Various,590,40,FALSE,491300,,N/A,3.7
Karaang,กะราง,main dish,Unknown,Unknown,314,40,TRUE,96200, 30 ,Med,3.7 stars
Kanom Krok,ขนมครก,snack,Various,Various,251,15,FALSE,471200,N/A,Mild,3.8 stars
Kaeng Paa,แกงป่า,main dish,Various,Various,355,40,FALSE,335800,25,Hot,4.8
Khao Tang Na Tang,ข้าวตังหน้าตั้ง,snack,Various,Various,736,,,414200,35,Very Hot,-1
Kanom Chan,ขนมชั้น,dessert,Various,Various,352,10,FALSE,91800,40,VERY HOT,4.2
Ice Cream Pad,ไอติมผัด,dessert,Unknown,Unknown,268,45,FALSE,154300,฿40,Medium,4.3
Khao Ho Tod,ข้าวห่อทอด,snack,Unknown,Unknown,465,60,FALSE,372200,60,Not Spicy,3.2
Tai Pla,ไตปลา,main dish,Southern provinces,South,529,10,,451400,N/A,N/A,4.4 stars
Kanom Tan,ขนมตาล,dessert,Various,Various,,60,FALSE,464200, 120 ,Spicy,4.6
Kao Sia Po,ข้าวเสียโป,main dish,Unknown,Unknown,210,20,FALSE,425500,80,Very Hot,4.0
Cho Muang,ช่อม่วง,snack,Unknown,Unknown,,30,FALSE,91400,฿80,Mild,2.5 stars
Khao Niao Mamuang,ข้าวเหนียวมะม่วง,dessert,Various,Various,319,90,FALSE,345900,120,N/A,2.5
Khao Kriap Ya Na,ข้าวเกรียบยาหน้า,snack,Various,Various,210,15,TRUE,402000,฿35,N/A,2.6 stars
Kanom Khai Hong,ขนมไข่หงส์,snack,Various,Various,425,20,TRUE,55700,฿150,Not Spicy,10
Kai Jeow,ไข่เจียว,main dish,Various,Various,270,45,FALSE,407000,,Mild,N/A
Kanom Pang Ka Kai,ขนมปังขาไก่,snack,Bangkok,Central,846,30,FALSE,342800,N/A,medium,4.9
Pla,พล่า,main dish,Various,Various,688,,FALSE,169600,60,NOT SPICY,4.3
Khao Tom Mat,ข้าวต้มมัด,dessert,Various,Various,,,TRUE,124100,40,Med,5.0
Sup,ซุบ,main dish,Unknown,Unknown,234,45,FALSE,493000,60,hot,4.8
Kanom Muang Phet,ขนมเมืองเพชร,dessert,Unknown,Unknown,343,,,160100, 35 ,Mild,3.6
Kanom Khai Nok Krata,ขนมไข่นกกระทา,snack,Various,Various,573,,FALSE,331300,70,NOT SPICY,4.5
Rai Rai,เรไร,dessert,Unknown,Unknown,376,20,FALSE,465300,N/A,medium,10
Kaeng Khee Lek,แกงขี้เหล็ก,main dish,Various,Various,751,45,FALSE,481700, 45 ,,N/A
Koi,ก้อย,main dish,Ubon Ratchathani,Northeast,476,120,FALSE,196400,฿100,Mild,4.2
Moo Manao,หมูมะนาว,main dish,Various,Various,840,5,FALSE,125000,30,Not Spicy,4.3
Oo,อู๋,main dish,Unknown,Unknown,686,10,FALSE,191500,N/A,mild,4.7 stars
La Tiang,ล่าเตียง,snack,Unknown,Unknown,357,120,FALSE,51200,N/A,,2.6
Jok,โจ๊ก,main dish,Bangkok,Central,763,15,TRUE,116900,N/A,Hot,3.0
Kaeng Kradang,แกงกระด้าง,main dish,Northern provinces,North,554,30,FALSE,227100,35,Not Spicy,3.0 stars
Kanom Pak Kad,ขนมผักกาด,snack,Bangkok,Central,690,10,FALSE,430700,30,Extra Spicy,10
Kaeng Sap Nok,แกงสับนก,main dish,Unknown,Unknown,650,90,FALSE,315000, 60 ,,2.8
Pan Sip,ปั้นสิบ,snack,Unknown,Unknown,666,5,FALSE,493400,100,Medium,4.7
Mee Kati,หมี่กะทิ,main dish,Central provinces,Central,136,40,TRUE,363900, 150 ,Medium,4.0
Kao Dok Rai,ข้าวดอกราย,main dish,Unknown,Unknown,472,,TRUE,81200,฿70,None,3.0
Khao Niao Ping,ข้าวเหนียวปิ้ง,snack,Various,Various,,30,,28600,฿100,Not Spicy,N/A
Karawek Sod Si,การเวกสอดสี,snack,Unknown,Unknown,666,20,,, 100 ,Spicy,2.9
